	Loan_ID	ApplicantIncome	CoapplicantIncome	LoanAmount	Loan_Amount_Term	Credit_History	TotalIncome	LoanAmount_log	TotalIncome_log	Gender_Female	Gender_Male	Married_No	Married_Yes	Dependents_0	Dependents_0	Dependents_1	Dependents_2	Dependents_3+	Education_Graduate	Education_Not Graduate	Self_Employed_No	Self_Employed_Yes	Property_Area_Rural	Property_Area_Semiurban	Property_Area_Urban	predicted_output
26	LP001163	4363	1250	140.0	360.0	1.0	5613	4.941642422609304	8.6328406149422	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1
27	LP001169	7500	3750	275.0	360.0	1.0	11250	5.616771097666572	9.328123407632566	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1
28	LP001174	3772	833	57.0	360.0	1.0	4605	4.04305126783455	8.434897948689407	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1
29	LP001176	2942	2382	125.0	180.0	1.0	5324	4.8283137373023015	8.579980179515003	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1
30	LP001177	2478	0	75.0	360.0	1.0	2478	4.31748811353631	7.815207062189088	1	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0
31	LP001183	6250	820	192.0	360.0	1.0	7070	5.2574953720277815	8.863615758890619	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1
32	LP001185	3268	1683	152.0	360.0	1.0	4951	5.0238805208462765	8.507344855361422	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0
33	LP001187	2783	2708	158.0	360.0	1.0	5491	5.062595033026967	8.610865667278873	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1
34	LP001190	2740	1541	101.0	360.0	1.0	4281	4.61512051684126	8.361941906144946	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1
35	LP001203	3150	0	176.0	360.0	0.0	3150	5.170483995038151	8.055157731819678	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0
36	LP001208	7350	4029	185.0	180.0	1.0	11379	5.220355825078324	9.339524830357009	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1
37	LP001210	2267	2792	90.0	360.0	1.0	5059	4.499809670330265	8.528924114291936	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1
38	LP001211	5833	0	116.0	360.0	1.0	5833	4.7535901911063645	8.671286726753637	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1
39	LP001219	3643	1963	138.0	360.0	1.0	5606	4.927253685157205	8.631592731724734	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1
40	LP001220	5629	818	100.0	360.0	1.0	6447	4.605170185988092	8.77137018531062	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1
41	LP001221	3644	0	110.0	360.0	1.0	3644	4.700480365792417	8.200837258379849	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1
42	LP001226	1750	2024	90.0	360.0	1.0	3774	4.499809670330265	8.235890725928495	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0
43	LP001230	6500	2600	200.0	360.0	1.0	9100	5.298317366548036	9.116029692504942	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0
44	LP001231	3666	0	84.0	360.0	1.0	3666	4.430816798843313	8.20685642839965	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1
45	LP001232	4260	3900	185.0	360.0	1.0	8160	5.220355825078324	9.006999447958153	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1
46	LP001237	4163	1475	162.0	360.0	1.0	5638	5.087596335232384	8.637284671674058	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1
47	LP001242	2356	1902	108.0	360.0	1.0	4258	4.68213122712422	8.356554845453426	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0
48	LP001268	6792	3338	187.0	360.0	1.0	10130	5.231108616854587	9.22325659724273	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1
49	LP001270	8000	250	187.0	360.0	1.0	8250	5.231108616854587	9.017968479328726	0	1	0	1	0	0	0	0	1	0	1	0	1	0	1	0	1
50	LP001284	2419	1707	124.0	360.0	1.0	4126	4.820281565605037	8.325063693631197	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	1	1
51	LP001287	3500	833	120.0	360.0	1.0	4333	4.787491742782046	8.374015421739909	0	1	0	1	0	0	0	0	1	0	1	1	0	0	1	0	1
52	LP001291	3500	3077	160.0	360.0	1.0	6577	5.075173815233827	8.79133399330135	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1
53	LP001298	4116	1000	30.0	180.0	1.0	5116	3.4011973816621555	8.540128162698734	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1
54	LP001312	5293	0	92.0	360.0	1.0	5293	4.5217885770490405	8.574140471857987	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	1
55	LP001313	2750	0	130.0	360.0	0.0	2750	4.867534450455582	7.919356190660617	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1
56	LP001317	4402	0	130.0	360.0	1.0	4402	4.867534450455582	8.389814262086407	1	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0
57	LP001321	3613	3539	134.0	180.0	1.0	7152	4.897839799950911	8.87514731685335	0	1	0	1	0	0	0	1	0	1	0	1	0	0	1	0	1
58	LP001323	2779	3664	176.0	360.0	0.0	6443	5.170483995038151	8.770749549138642	1	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	1
59	LP001324	4720	0	90.0	180.0	1.0	4720	4.499809670330265	8.459564078579602	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1
60	LP001332	2415	1721	110.0	360.0	1.0	4136	4.700480365792417	8.327484416188264	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0
61	LP001335	7016	292	125.0	360.0	1.0	7308	4.8283137373023015	8.896724917497897	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1
62	LP001338	4968	0	189.0	360.0	1.0	4968	5.241747015059643	8.510772623613315	1	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0
63	LP001347	2101	1500	108.0	360.0	0.0	3601	4.68213122712422	8.188966863648876	1	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0
64	LP001348	4490	0	125.0	360.0	1.0	4490	4.8283137373023015	8.4096079807363	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0
65	LP001351	2917	3583	138.0	360.0	1.0	6500	4.927253685157205	8.779557455883728	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1
66	LP001352	4700	0	135.0	360.0	0.0	4700	4.90527477843843	8.45531778769815	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1
67	LP001358	3445	0	130.0	360.0	0.0	3445	4.867534450455582	8.144679183447758	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1
68	LP001359	7666	0	187.0	360.0	1.0	7666	5.231108616854587	8.9445502459405	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1
69	LP001361	2458	5105	188.0	360.0	0.0	7563	5.236441962829949	8.93102321585603	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	1
70	LP001366	3250	0	95.0	360.0	1.0	3250	4.553876891600541	8.086410275323782	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0
71	LP001368	4463	0	65.0	360.0	1.0	4463	4.174387269895637	8.40357646462927	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0
72	LP001375	4083	1775	139.0	60.0	1.0	5858	4.9344739331306915	8.675563527387679	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	1	1
73	LP001380	3900	2094	232.0	360.0	1.0	5994	5.44673737166631	8.69851424787661	0	1	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1
74	LP001386	4750	3583	144.0	360.0	1.0	8333	4.969813299576001	9.027978814382207	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1
75	LP001400	3583	3435	155.0	360.0	1.0	7018	5.043425116919247	8.85623355614316	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1
76	LP001407	3189	2367	186.0	360.0	1.0	5556	5.225746673713202	8.622633703874234	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1
77	LP001413	6356	0	50.0	360.0	1.0	6356	3.912023005428146	8.757154527656606	0	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0
78	LP001415	3413	4053	136.13259668508286	360.0	1.0	7466	4.91362938638163	8.91811465947453	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1
79	LP001419	7950	0	185.0	360.0	1.0	7950	5.220355825078324	8.980927207648378	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0
80	LP001420	3829	1103	163.0	360.0	0.0	4932	5.093750200806762	8.503499864284235	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	1
81	LP001428	72529	0	360.0	360.0	1.0	72529	5.886104031450156	11.191741760864094	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	1
82	LP001445	4136	0	149.0	480.0	0.0	4136	5.003946305945459	8.327484416188264	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0
83	LP001446	8449	0	257.0	360.0	1.0	8449	5.54907608489522	9.041803370152845	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	1
84	LP001450	4456	0	131.0	180.0	0.0	4456	4.875197323201151	8.40200678160712	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1
85	LP001452	4635	8000	102.0	180.0	1.0	12635	4.624972813284271	9.444226019822295	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	1
86	LP001455	3571	1917	135.0	360.0	1.0	5488	4.90527477843843	8.610319169405722	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1
87	LP001466	3066	0	95.0	360.0	1.0	3066	4.553876891600541	8.028129059431759	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0
88	LP001471	3235	2015	77.0	360.0	1.0	5250	4.343805421853684	8.565983355585669	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1
89	LP001472	5058	0	200.0	360.0	1.0	5058	5.298317366548036	8.52872642722991	1	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0
90	LP001475	3188	2286	130.0	360.0	1.0	5474	4.867534450455582	8.607764889600624	0	1	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1
91	LP001483	13518	0	390.0	360.0	1.0	13518	5.966146739123692	9.511777409660299	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1
92	LP001486	4364	2500	185.0	360.0	1.0	6864	5.220355825078324	8.834045641167798	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1
93	LP001490	4766	1646	100.0	360.0	1.0	6412	4.605170185988092	8.765926513729443	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	1
94	LP001496	4609	2333	123.0	360.0	0.0	6942	4.812184355372417	8.845345196421732	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1
95	LP001499	6260	0	110.0	360.0	1.0	6260	4.700480365792417	8.741935464094144	1	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1
96	LP001500	3333	4200	256.0	360.0	1.0	7533	5.545177444479562	8.927048647825695	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	1	1
97	LP001501	3500	3250	140.0	360.0	1.0	6750	4.941642422609304	8.817297783866575	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1
98	LP001517	9719	0	61.0	360.0	1.0	9719	4.110873864173311	9.181838011503471	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	1
99	LP001527	6835	0	188.0	360.0	1.0	6835	5.236441962829949	8.82981174915805	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1
100	LP001534	4452	0	131.0	360.0	1.0	4452	4.875197323201151	8.401108712395436	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0
101	LP001542	2262	0	136.13259668508286	480.0	0.0	2262	4.91362938638163	7.724004656676065	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0
102	LP001547	3901	0	116.0	360.0	1.0	3901	4.7535901911063645	8.268988209506656	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	1	1
103	LP001548	2687	0	50.0	180.0	1.0	2687	3.912023005428146	7.8961806086154915	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0
104	LP001558	2243	2233	107.0	360.0	1.0	4476	4.672828834461906	8.406485069431817	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0
105	LP001561	3417	1287	200.0	360.0	1.0	4704	5.298317366548036	8.456168489578463	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1
106	LP001563	1596	1760	119.0	360.0	0.0	3356	4.77912349311153	8.118505067587098	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1
107	LP001567	4513	0	120.0	360.0	1.0	4513	4.787491742782046	8.414717399827001	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1
108	LP001568	4500	0	140.0	360.0	1.0	4500	4.941642422609304	8.411832675758411	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1
109	LP001573	4523	1350	165.0	360.0	1.0	5873	5.10594547390058	8.67812085552252	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	1	1
110	LP001584	4742	0	108.0	360.0	1.0	4742	4.68213122712422	8.464214266625351	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0
111	LP001587	4082	0	93.0	360.0	1.0	4082	4.532599493153256	8.31434234336979	0	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1
112	LP001589	3417	0	102.0	360.0	1.0	3417	4.624972813284271	8.136518252115291	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1
113	LP001591	2922	3396	122.0	360.0	1.0	6318	4.804021044733257	8.75115798136203	1	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	1
114	LP001599	4167	4754	160.0	360.0	1.0	8921	5.075173815233827	9.096163326913784	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	1
115	LP001601	4243	4123	157.0	360.0	1.0	8366	5.056245805348308	9.031931152002144	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0
116	LP001607	0	1760	180.0	360.0	1.0	1760	5.19295685089021	7.473069088032197	1	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0
117	LP001611	1516	2900	80.0	360.0	0.0	4416	4.382026634673881	8.392989587956931	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1
118	LP001613	1762	2666	104.0	360.0	0.0	4428	4.6443908991413725	8.395703293828527	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1
119	LP001622	724	3510	213.0	360.0	0.0	4234	5.3612921657094255	8.350902451694811	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	1
120	LP001627	3125	0	65.0	360.0	1.0	3125	4.174387269895637	8.047189562170502	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1
121	LP001650	2333	3803	146.0	360.0	1.0	6136	4.983606621708336	8.721928343047091	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	1
122	LP001651	3350	1560	135.0	360.0	1.0	4910	4.90527477843843	8.499029220788566	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	1
123	LP001652	2500	6414	187.0	360.0	0.0	8914	5.231108616854587	9.0953783535065	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0
124	LP001655	12500	0	300.0	360.0	0.0	12500	5.703782474656201	9.433483923290392	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1
125	LP001660	4667	0	120.0	360.0	1.0	4667	4.787491742782046	8.448271745949816	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0
126	LP001662	6500	0	71.0	360.0	0.0	6500	4.2626798770413155	8.779557455883728	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1
127	LP001663	7500	0	225.0	360.0	1.0	7500	5.41610040220442	8.922658299524402	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1
128	LP001667	3073	0	70.0	180.0	1.0	3073	4.248495242049359	8.030409562130485	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1
129	LP001695	3321	2088	70.0	360.0	1.0	5409	4.248495242049359	8.595819511871428	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0	1
130	LP001703	3333	1270	124.0	360.0	1.0	4603	4.820281565605037	8.434463543817241	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1
131	LP001718	3391	0	132.0	360.0	1.0	3391	4.882801922586371	8.128880142125638	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0
132	LP001728	3343	1517	105.0	360.0	1.0	4860	4.653960350157523	8.48879371689454	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1
133	LP001735	3620	0	90.0	360.0	1.0	3620	4.499809670330265	8.194229304819817	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0
134	LP001737	4000	0	83.0	84.0	1.0	4000	4.418840607796598	8.294049640102028	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1
135	LP001739	4258	0	125.0	360.0	1.0	4258	4.8283137373023015	8.356554845453426	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1
136	LP001742	4500	0	147.0	360.0	1.0	4500	4.990432586778736	8.411832675758411	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	1
137	LP001757	2014	2925	120.0	360.0	1.0	4939	4.787491742782046	8.504918160540624	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1
138	LP001769	3333	1250	110.0	360.0	1.0	4583	4.700480365792417	8.430109084509125	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0
139	LP001771	4083	0	103.0	360.0	1.0	4083	4.634728988229636	8.314587291319576	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0
140	LP001785	4727	0	150.0	360.0	0.0	4727	5.0106352940962555	8.461046030793236	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0
141	LP001787	3089	2999	100.0	240.0	1.0	6088	4.605170185988092	8.714074899541522	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1
142	LP001789	6794	528	139.0	360.0	0.0	7322	4.9344739331306915	8.898638793680181	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	1	1
143	LP001791	32000	0	550.0	360.0	1.0	32000	6.309918278226516	10.373491181781864	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1
144	LP001794	10890	0	260.0	12.0	1.0	10890	5.560681631015528	9.295600215927006	0	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	1
145	LP001797	12941	0	150.0	300.0	1.0	12941	5.0106352940962555	9.46815584482167	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1
146	LP001815	3276	0	90.0	360.0	1.0	3276	4.499809670330265	8.09437844497296	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0
147	LP001817	8703	0	199.0	360.0	0.0	8703	5.293304824724492	9.071423072789514	0	1	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0
148	LP001818	4742	717	139.0	360.0	1.0	5459	4.9344739331306915	8.605020901781758	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1
149	LP001822	5900	0	150.0	360.0	1.0	5900	5.0106352940962555	8.68270762989381	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1
150	LP001827	3071	4309	180.0	360.0	1.0	7380	5.19295685089021	8.906528917594517	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1
151	LP001831	2783	1456	113.0	360.0	1.0	4239	4.727387818712341	8.352082671352637	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1
152	LP001842	5000	0	148.0	360.0	1.0	5000	4.997212273764115	8.517193191416238	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0
153	LP001853	2463	2360	117.0	360.0	0.0	4823	4.762173934797756	8.481151420068972	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	1	1
154	LP001855	4855	0	72.0	360.0	1.0	4855	4.276666119016055	8.487764380725425	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	1
155	LP001857	1599	2474	125.0	300.0	1.0	4073	4.8283137373023015	8.312135107648412	0	1	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0
156	LP001862	4246	4246	214.0	360.0	1.0	8492	5.365976015021851	9.046879822823147	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1
157	LP001867	4333	2291	133.0	350.0	1.0	6624	4.890349128221754	8.798454696065095	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	1
158	LP001878	5823	2529	187.0	360.0	1.0	8352	5.231108616854587	9.03025631012242	0	1	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0
159	LP001881	7895	0	143.0	360.0	1.0	7895	4.962844630259907	8.973984926689743	0	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0
160	LP001886	4150	4256	209.0	360.0	1.0	8406	5.342334251964811	9.036701015565063	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0
161	LP001906	2964	0	84.0	360.0	0.0	2964	4.430816798843313	7.994294986415977	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0
162	LP001909	5583	0	116.0	360.0	1.0	5583	4.7535901911063645	8.62748154531036	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1
163	LP001911	2708	0	65.0	360.0	1.0	2708	4.174387269895637	7.903965634032166	1	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0
164	LP001921	3180	2370	80.0	240.0	1.0	5550	4.382026634673881	8.62155320674048	0	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0
165	LP001923	2268	0	170.0	360.0	0.0	2268	5.135798437050262	7.7266536648476425	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0
166	LP001933	1141	2017	120.0	360.0	0.0	3158	4.787491742782046	8.057694194815587	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0
167	LP001943	3042	3167	135.0	360.0	1.0	6209	4.90527477843843	8.733755131364893	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1
168	LP001950	1750	2935	94.0	360.0	0.0	4685	4.543294782270004	8.452121194672523	1	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1
169	LP001959	3564	0	79.0	360.0	1.0	3564	4.3694478524670215	8.1786387885907	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1
170	LP001961	3958	0	110.0	360.0	1.0	3958	4.700480365792417	8.28349412616251	1	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0
171	LP001973	4483	0	130.0	360.0	1.0	4483	4.867534450455582	8.40804774415544	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0
172	LP001975	5225	0	143.0	360.0	1.0	5225	4.962844630259907	8.561210076833012	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	1
173	LP001979	3017	2845	159.0	180.0	0.0	5862	5.0689042022202315	8.676246121270838	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1
